Year,Energy Source,Units,Value
2016,Biomass & Biowaste,By Energy Type,1.0
2016,Solar,By Energy Type,21.0
2016,Wind,By Energy Type,21.0
2017,Biomass & Biowaste,By Energy Type,2.0
2017,Solar,By Energy Type,21.0
2017,Wind,By Energy Type,21.0
2018,Biomass & Biowaste,By Energy Type,2.0
2018,Solar,By Energy Type,20.0
2018,Wind,By Energy Type,21.0
2019,Biomass & Biowaste,By Energy Type,2.2
2019,Solar,By Energy Type,16.5
2019,Wind,By Energy Type,12.6
2020,Biomass & Biowaste,By Energy Type,2.1
2020,Solar,By Energy Type,17.9
2020,Wind,By Energy Type,11.0
